house_id,actual_price,proj_price,actual_crypto,proj_crypto,bedrooms,bathrooms,acres,floors,waterfront,view,grade,sqft_above,sqft_basement,yr_built
1,221900,325189.738,410,600,3,1,0.129706152,1,0,0,7,1180,0,1955
2,538000,553567.6949,1000,1020,3,2.25,0.166253444,2,0,0,7,2170,400,1951
3,180000,280292.6152,330,520,2,1,0.229568411,1,0,0,6,770,0,1933
4,604000,510490.7051,1120,940,4,3,0.114784206,1,0,0,7,1050,910,1965
5,510000,438737.8455,940,810,3,2,0.185491276,1,0,0,8,1680,0,1987
6,1.23E+06,1501888.522,2270,2780,4,4.5,2.339990817,1,0,0,11,3890,1530,2001
7,257500,297682.4841,480,550,3,2.25,0.1565427,2,0,0,7,1715,0,1995
8,291850,322113.5031,540,600,3,1.5,0.222933884,1,0,0,7,1060,0,1963
9,229500,404714.6312,420,750,3,1,0.171487603,1,0,0,7,1050,730,1960
10,323000,302234.0521,600,560,3,2.5,0.150596878,2,0,0,7,1890,0,2003
11,662500,797693.7552,1230,1480,3,2.5,0.224885216,1,0,0,8,1860,1700,1965
12,468000,425583.2161,870,790,2,1,0.137741047,1,0,0,7,860,300,1942
13,310000,429749.0618,570,800,3,1,0.456864096,1.5,0,0,7,1430,0,1927
14,400000,303053.3661,740,560,3,1.75,0.222222222,1,0,0,7,1370,0,1977
15,530000,571616.9802,980,1060,5,2,0.11134068,1.5,0,0,7,1810,0,1900
16,650000,945303.4101,1200,1750,4,3,0.114784206,2,0,3,9,1980,970,1979
17,395000,300702.638,730,560,3,2,0.32231405,2,0,0,7,1890,0,1994
18,485000,461518.7539,900,850,4,1,0.098714417,1.5,0,0,7,1600,0,1916
19,189000,464110.2153,350,860,2,1,0.226124885,1,0,0,7,1200,0,1921
20,230000,279068.1849,430,520,3,1,0.224380165,1,0,0,7,1250,0,1969
21,385000,472075.0908,710,870,4,1.75,0.114325069,1,0,0,7,860,760,1947
22,2.00E+06,1035995.292,3700,1920,3,2.75,1.030004591,1,0,4,9,2330,720,1968
23,285000,461832.641,530,850,5,2.5,0.144628099,2,0,0,8,2270,0,1995
24,252700,270051.1964,470,500,2,1.5,0.221372819,1,0,0,7,1070,0,1985
25,329000,553106.6542,610,1020,3,2.25,0.149219467,2,0,0,8,2450,0,1985
26,233000,335770.0864,430,620,3,2,0.107828283,1.5,0,0,6,1710,0,1941
27,937000,775986.2366,1730,1440,3,1.75,0.06177686,2,0,0,8,1750,700,1915
28,667000,627435.7693,1230,1160,3,1,0.036294766,1.5,0,0,8,1400,0,1909
29,438000,486232.0182,810,900,3,1.75,0.146464646,1,0,0,7,790,730,1948
30,719000,495471.2703,1330,920,4,2.5,0.164669421,2,0,0,8,2570,0,2005
31,580500,488054.6848,1070,900,3,2.5,0.091368228,2,0,0,8,2320,0,2003
32,280000,208686.547,520,390,2,1.5,0.029040404,3,0,0,7,1190,0,2005
33,687500,569499.7251,1270,1050,4,1.75,0.114784206,1.5,0,0,7,1510,820,1929
34,535000,543780.8931,990,1010,3,1,0.068870523,1.5,0,0,8,1090,0,1929
35,322500,431317.0508,600,800,4,2.75,0.152869605,1,0,0,7,1280,780,1981
36,696000,762529.271,1290,1410,3,2.5,0.070247934,1.5,0,0,8,1510,790,1930
37,550000,198357.355,1020,370,4,1,0.8,1,0,0,5,930,730,1933
38,640000,779301.7161,1180,1440,4,2,0.137741047,2,0,0,8,2360,0,1904
39,240000,291185.7456,440,540,4,1,0.185376492,1,0,0,7,890,330,1969
40,605000,534480.8224,1120,990,4,2.5,0.173393021,2,0,0,8,2620,0,1996
41,625000,645220.3275,1160,1190,4,2.5,0.126721763,2,0,0,9,2570,0,2000
42,775000,778118.7163,1430,1440,4,2.25,0.55523416,1,0,0,8,2600,1620,1984
43,861990,803450.6442,1600,1490,5,2.75,0.129453627,2,0,0,9,3595,0,2014
44,685000,462239.5175,1270,860,3,1,0.052341598,2,0,0,7,1570,0,1922
45,309000,220498.9999,570,410,3,1,0.221671258,1,0,0,6,920,360,1959
46,488000,635234.5068,900,1180,3,2.5,0.31228191,2,0,0,8,3160,0,2003
47,210490,148161.7293,390,270,3,1,0.195775941,1,0,0,6,990,0,1966
48,785000,665344.8672,1450,1230,4,2.5,0.307988981,2,0,0,9,2290,0,1981
49,450000,380053.9014,830,700,3,1.75,0.136891644,1,0,0,7,1250,0,1953
50,1.35E+06,1496699.545,2500,2770,3,2.5,1.492309458,1,1,2,9,2165,588,1953
51,228000,324486.1995,420,600,3,1,0.211179982,1,0,0,7,1190,0,1955
52,345000,701853.1317,640,1300,5,2.5,0.209687787,1,0,0,8,1640,1510,1966
